Node Name,IN,CA,CN,DE,ES,FR,IT,JP,UK,US
All,,1,1,1,1,1,1,1,1,1
Apparel,,,2016156051,78689031,,340855031,,361299011,83451031,1036592
Appliances,,,80207071,,,,,2277724051,,2619525011
ArtsAndCrafts,,,,,,,,,,2617941011
Automotive,,,1947899051,78191031,,,,2017304051,248877031,15690151
Baby,,3561346011,,357577011,,206617031,1571286031,13331821,60032031,165796011
Beauty,,,746776051,64257031,,197858031,,52391051,66280031,11055981
Books,976389031,927726,658390051,541686,599364031,468256,411663031,465610,1025612,1000
Classical,,962454,,542676,,537366,,562032,505510,301668
Collectibles,,,,,,,,,,4991425011
DVD,976416031,,,,,,,,,2625373011
Electronics,,677211011,2016116051,569604,667049031,1058082,412609031,3210991,560800,493964
ForeignBooks,,927726,,54071011,599367031,69633011,433842031,388316011,,
Garden,,,,,,,635016031,,,
GourmetFood,,,,,,,,,,2255571011
Grocery,,,2127215051,340846031,,,,57239051,340834031,16310101
HealthPersonalCare,,,852803051,64257031,,197861031,,161669011,66280031,3760931
Hobbies,,,,,,,,13331821,,
Home,,,2016126051,,,,,,,
HomeGarden,,,,10925241,,,,,11052591,1055398
HomeImprovement,,,1952920051,,,590748031,,,2016929051,
Industrial,,,,,,,,,,228239
Jewelry,,,816482051,327473011,,193711031,,85896051,193717031,3880591
Kitchen,,2206275011,,3169011,599391031,57686031,524015031,3839151,11052591,1063498
Lighting,,,,213083031,,213080031,1571292031,,213077031,
Magazines,,,,1161658,,,,,,599872
Miscellaneous,,,899280051,,,,,,,10304191
Music,,962454,754386051,542676,599373031,537366,412600031,562032,505510,301668
MusicalInstruments,,,,340849031,,340862031,,2123629051,340837031,11091801
OfficeProducts,,,2127221051,192416031,,192420031,,,560800,1084128
OutdoorLiving,,,,10925051,,,,,11052591,1063498
PCHardware,,,,569604,,,,,,493964
PetSupplies,,,,,,,,,,1063498
Photo,,,755653051,569604,,,,,,493964
Shoes,,,2029189051,,,215934031,524006031,2016926051,,
SportingGoods,,,836312051,16435121,,,,14304371,319530011,3375251
Tools,,,,,,,,,11052591,468240
Toys,,,647070051,12950661,599385031,548014,523997031,13331821,712832,493964
Watches,,,1953164051,193708031,599388031,60937031,524009031,324025011,595312,377110011
Wireless,,,,,,,,,,2335753011
WirelessAccessories,,,,,,,,,,13900851
