SearchIndex: Apparel
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
pricerank	Price: low to high
inverseprice	Price: high to low
-launch-date	Newest arrivals
sale-flag	On sale


SearchIndex: Appliances
Value	Description
salesrank	Bestselling
pmrank	Featured items
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears, for example, the ranking is higher when keywords are found in titles, and, if there are multiple keywords, how closely they occur in descriptions, and, finally, how often customers purchased the products they found using the keyword.
reviewrank	Average customer review: high to low


SearchIndex: ArtsAndCrafts
Value	Description
pmrank	Featured items
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
reviewrank	Highest to lowest ratings in customer reviews.


SearchIndex: Automotive
Value	Description
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: Baby
Value	Description
psrank	Bestseller ranking taking into consideration projected sales.The lower the value, the better the sales.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z


SearchIndex: Beauty
Value	Description
pmrank	Featured items
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
-launch-date	Newest arrivals
sale-flag	On sale


SearchIndex: Blended
You cannot use any sort parameters with the Blended search index.


SearchIndex: Books
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
reviewrank	Average customer review: high to low
pricerank	Price: low to high
inverse-pricerank	Price: high to low
daterank	Publication date: newer to older
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: Classical
Value	Description
psrank	Bestseller ranking taking into consideration projected sales.The lower the value, the better the sales.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A
orig-rel-date	Release date: newer to older
-orig-rel-date	Release date: older to newer
releasedate	Release date: newer to older
-releasedate	Release date: older to newer


SearchIndex: Collectibles
Value	Description
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
reviewrank	Average customer review: high to low
salesrank	Bestselling


SearchIndex: DigitalMusic
Value	Description
songtitlerank	Most popular
uploaddaterank	Date added


SearchIndex: DVD
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z
-video-release-date	Release date: newer to older
releasedate	Release date: newer to older


SearchIndex: Electronics
Value	Description
pmrank	Featured items
salesrank	Bestselling
reviewrank	Average customer review: high to low
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z


SearchIndex: Grocery
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
