SearchIndex: Apparel
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low
-launchdate	Latest arrivals


SearchIndex: Appliances
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low
-launchdate	Latest arrivals


SearchIndex: Automotive
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low
-launchdate	Latest arrivals


SearchIndex: Baby
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low


SearchIndex: Beauty
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low


SearchIndex: Blended
You cannot use any sort parameters with the Blended search index.


SearchIndex: Books
Value	Description
salesrank	Best to worse selling
pricerank	Price: Low to high
-pricerank	Price: High to low
daterank	Publish date: New to old
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A
reviewrank	Average customer review: High to low


SearchIndex: Electronics
Value	Description
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A
release-date	Release date: Older to newer
-release-date	Release date: Newer to older


SearchIndex: Grocery
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low


SearchIndex: HealthPersonalCare
Value	Description
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A
release-date	Release date: Older to newer
-release-date	Release date: Newer to older


SearchIndex: HomeGarden
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low


SearchIndex: HomeImprovement
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (for example, the ranking is higher when keywords are found in titles), how closely they occur in descriptions (if there are multiple keywords), and how often customers purchased the products they found using the keyword.
salesrank	Best to worse selling
price	Price: Low to high
-price	Price: High to low
reviewrank	Average customer review: High to low


SearchIndex: Jewelry
Value	Description
