SearchIndex: Automotive
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low


SearchIndex: Baby
Value	Description
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z


SearchIndex: Blended
You cannot use any sort parameters with the Blended search index.


SearchIndex: Books
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-pubdate	Publication date: oldest to most recent
-publicationdate	Publication date: oldest to most recent


SearchIndex: DVD
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-releasedate	Release date: newer to older


SearchIndex: Electronics
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low


SearchIndex: ForeignBooks
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-pubdate	Publication date: oldest to most recent
-publicationdate	Publication date: oldest to most recent


SearchIndex: KindleStore
Value	Description
-edition-sales-velocity	Quickest to slowest selling products.
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
daterank	Publication date: new to old


SearchIndex: Kitchen
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low


SearchIndex: MP3Downloads
Value	Description
price	Price: low to high
-price	Price: high to low
-releasedate	Release date: newer to older
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling


SearchIndex: Music
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-releasedate	Release date: newer to older


SearchIndex: Shoes
Value	Description
-launch-date	Newest arrivals
popularityrank	Items ranked by popularity
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
reviewrank	Highest to lowest ratings in customer reviews.


SearchIndex: Software
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-releasedate	Release date: newer to older


SearchIndex: Toys
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low


SearchIndex: VideoGames
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
-releasedate	Release date: newer to older


SearchIndex: Watches
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low
