SearchIndex: Apparel
Value	Description
reviewrank	Highest to lowest ratings in customer reviews.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.


SearchIndex: Automotive
Value	Description
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
reviewrank	Highest to lowest ratings in customer reviews.
reviewrank_authority	Review rank: high to low


SearchIndex: Baby
Value	Description
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
salesrank	Bestselling


SearchIndex: Beauty
Value	Description
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
reviewrank	Highest to lowest ratings in customer reviews.
salesrank	Bestselling


SearchIndex: Blended
You cannot use any sort parameters with the Blended search index.


SearchIndex: Books
Value	Description
salesrank	Bestselling to worse selling
pricerank	Price: low to high
inverse-pricerank	Price: high to low
-daterank	Pub Date: Old to New
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: Classical
Value	Description
salesrank	Bestselling
pricerank	Price: low to high
price	Price: low to high
inverse-pricerank	Price: high to low
-price	Price: high to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: A to Z


SearchIndex: DVD
Value	Description
amzrank	Alphabetical: A to Z
availability	Most to least available
salesrank	Bestselling
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: Electronics
Value	Description
salesrank	Bestselling
price	Price: low to high
-price	Price: high to low
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: ForeignBooks
Value	Description
salesrank	Bestselling
pricerank	Price: low to high
inverse-pricerank	Price: high to low
-daterank	Publication date: Old to New
titlerank	Alphabetical: A to Z
-titlerank	Alphabetical: Z to A


SearchIndex: HealthPersonalCare
Value	Description
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
reviewrank	Highest to lowest ratings in customer reviews.
salesrank	Bestselling


SearchIndex: HomeImprovement
Value	Description
price	Price: low to high
-price	Price: high to low
relevancerank	Items ranked according to the following criteria: how often the keyword appears in the description, where the keyword appears (the ranking is higher when keywords are found in titles and—if there are multiple keywords—how closely they occur in descriptions), and how often customers purchased the products they found using the keyword.
reviewrank	Highest to lowest ratings in customer reviews.
